springboot版本	依赖springframework版本	发布时间
1.0.x
1.0.0.RELEASE	4.0.3.RELEASE	2014.04
1.0.1.RELEASE	4.0.3.RELEASE	2014.04
1.0.2.RELEASE	4.0.3.RELEASE	2014.04
–	–	–
1.1.x
1.1.0.RELEASE	4.0.5.RELEASE	2014.06
1.1.1.RELEASE	4.0.5.RELEASE	2014.06
1.1.2.RELEASE	4.0.5.RELEASE	2014.06
1.1.3.RELEASE	4.0.5.RELEASE	2014.06
1.1.4.RELEASE	4.0.6.RELEASE	2014.07
1.1.5.RELEASE	4.0.6.RELEASE	2014.08
1.1.6.RELEASE	4.0.6.RELEASE	2014.09
1.1.7.RELEASE	4.0.7.RELEASE	2014.09
1.1.8.RELEASE	4.0.7.RELEASE	2014.10
1.1.9.RELEASE	4.0.8.RELEASE	2014.11
1.1.10.RELEASE	4.0.8.RELEASE	2014.12
1.1.11.RELEASE	4.0.9.RELEASE	2015.02
1.1.12.RELEASE	4.0.9.RELEASE	2015.03
–	–	–
1.2.x
1.2.0.RELEASE	4.1.3.RELEASE	2014.12
1.2.1.RELEASE	4.1.4.RELEASE	2015.01
1.2.2.RELEASE	4.1.5.RELEASE	2015.02
1.2.3.RELEASE	4.1.6.RELEASE	2015.03
1.2.4.RELEASE	4.1.6.RELEASE	2015.06
1.2.5.RELEASE	4.1.7.RELEASE	2015.07
1.2.6.RELEASE	4.1.8.RELEASE	2015.09
1.2.7.RELEASE	4.1.3.RELEASE	2015.10
1.2.8.RELEASE	4.1.9.RELEASE	2015.12
–	–	–
1.3.x
1.3.0.RELEASE	4.2.3.RELEASE	2015.11
1.3.1.RELEASE	4.2.4.RELEASE	2015.12
1.3.2.RELEASE	4.2.4.RELEASE	2016.01
1.3.3.RELEASE	4.2.5.RELEASE	2016.02
1.3.4.RELEASE	4.2.6.RELEASE	2016.05
1.3.5.RELEASE	4.2.6.RELEASE	2016.05
1.3.6.RELEASE	4.2.7.RELEASE	2016.06
1.3.7.RELEASE	4.2.7.RELEASE	2016.06
1.3.8.RELEASE	4.2.8.RELEASE	2016.09
–	–	–
1.4.x
1.4.0.RELEASE	4.3.2.RELEASE	2016.07
1.4.1.RELEASE	4.3.3.RELEASE	2016.09
1.4.2.RELEASE	4.3.4.RELEASE	2016.11
1.4.3.RELEASE	4.3.5.RELEASE	2016.12
1.4.4.RELEASE	4.3.6.RELEASE	2017.01
1.4.5.RELEASE	4.3.7.RELEASE	2017.03
1.4.6.RELEASE	4.3.8.RELEASE	2017.04
1.4.7.RELEASE	4.3.9.RELEASE	2017.06
–	–	–
1.5.x
1.5.0.RELEASE	4.3.6.RELEASE	2017.01
1.5.1.RELEASE	4.3.6.RELEASE	2017.01
1.5.2.RELEASE	4.3.7.RELEASE	2017.03
1.5.3.RELEASE	4.3.8.RELEASE	2017.04
1.5.4.RELEASE	4.3.9.RELEASE	2017.06
1.5.5.RELEASE	4.3.10.RELEASE	2017.07
1.5.6.RELEASE	4.3.10.RELEASE	2017.07
1.5.7.RELEASE	4.3.11.RELEASE	2017.09
1.5.8.RELEASE	4.3.12.RELEASE	2017.10
1.5.9.RELEASE	4.3.13.RELEASE	2017.11
1.5.10.RELEASE	4.3.14.RELEASE	2018.01
1.5.11.RELEASE	4.3.15.RELEASE	2018.04
1.5.12.RELEASE	4.3.16.RELEASE	2018.04
1.5.13.RELEASE	4.3.17.RELEASE	2018.05
1.5.14.RELEASE	4.3.18.RELEASE	2018.06
1.5.15.RELEASE	4.3.18.RELEASE	2018.07
1.5.16.RELEASE	4.3.19.RELEASE	2018.09
1.5.17.RELEASE	4.3.20.RELEASE	2018.10
1.5.18.RELEASE	4.3.21.RELEASE	2018.11
1.5.19.RELEASE	4.3.22.RELEASE	2019.01
1.5.20.RELEASE	4.3.23.RELEASE	2019.04
1.5.21.RELEASE	4.3.24.RELEASE	2019.05
1.5.22.RELEASE	4.3.25.RELEASE	2019.08
–	–	–
2.0.x
2.0.0.RELEASE	5.0.4.RELEASE	2018.03
2.0.1.RELEASE	5.0.5.RELEASE	2018.04
2.0.2.RELEASE	5.0.6.RELEASE	2018.05
2.0.3.RELEASE	5.0.7.RELEASE	2018.06
2.0.4.RELEASE	5.0.8.RELEASE	2018.07
2.0.5.RELEASE	5.0.9.RELEASE	2018.09
2.0.6.RELEASE	5.0.10.RELEASE	2018.10
2.0.7.RELEASE	5.0.11.RELEASE	2018.11
2.0.8.RELEASE	5.0.12.RELEASE	2019.01
2.0.9.RELEASE	5.0.13.RELEASE	2019.04
–	–	–
2.1.x
2.1.0.RELEASE	5.1.2.RELEASE	2018.10
2.1.1.RELEASE	5.1.3.RELEASE	2018.11
2.1.2.RELEASE	5.1.4.RELEASE	2019.01
2.1.3.RELEASE	5.1.5.RELEASE	2019.02
2.1.4.RELEASE	5.1.6.RELEASE	2019.04
2.1.5.RELEASE	5.1.7.RELEASE	2019.05
2.1.6.RELEASE	5.1.8.RELEASE	2019.06
2.1.7.RELEASE	5.1.9.RELEASE	2019.08
2.1.8.RELEASE	5.1.9.RELEASE	2019.09
2.1.9.RELEASE	5.1.10.RELEASE	2019.10
2.1.10.RELEASE	5.1.11.RELEASE	2019.11
2.1.11.RELEASE	5.1.12.RELEASE	2019.12
2.1.12.RELEASE	5.1.13.RELEASE	2020.01
2.1.13.RELEASE	5.1.14.RELEASE	2020.02
2.1.14.RELEASE	5.1.15.RELEASE	2020.05
2.1.15.RELEASE	5.1.16.RELEASE	2020.06
2.1.16.RELEASE	5.1.17.RELEASE	2020.07
2.1.17.RELEASE	5.1.18.RELEASE	2020.09
2.1.18.RELEASE	5.1.19.RELEASE	2020.10
–	–	–
2.2.x
2.2.0.RELEASE	5.2.0.RELEASE	2019.10
2.2.1.RELEASE	5.2.1.RELEASE	2019.11
2.2.2.RELEASE	5.2.2.RELEASE	2019.12
2.2.3.RELEASE	5.2.3.RELEASE	2020.01
2.2.4.RELEASE	5.2.3.RELEASE	2020.01
2.2.5.RELEASE	5.2.4.RELEASE	2020.02
2.2.6.RELEASE	5.2.5.RELEASE	2020.03
2.2.7.RELEASE	5.2.6.RELEASE	2020.05
2.2.8.RELEASE	5.2.7.RELEASE	2020.06
2.2.9.RELEASE	5.2.8.RELEASE	2020.07
2.2.10.RELEASE	5.2.9.RELEASE	2020.09
2.2.11.RELEASE	5.2.10.RELEASE	2020.10
2.2.12.RELEASE	5.2.12.RELEASE	2020.11
2.2.13.RELEASE	5.2.12.RELEASE	2021.01
–	–	–
2.3.x
2.3.0.RELEASE	5.2.6.RELEASE	2020.05
2.3.1.RELEASE	5.2.7.RELEASE	2020.06
2.3.2.RELEASE	5.2.8.RELEASE	2020.07
2.3.3.RELEASE	5.2.8.RELEASE	2020.08
2.3.4.RELEASE	5.2.9.RELEASE	2020.09
2.3.5.RELEASE	5.2.10.RELEASE	2020.10
2.3.6.RELEASE	5.2.11.RELEASE	2020.11
2.3.7.RELEASE	5.2.12.RELEASE	2020.12
2.3.8.RELEASE	5.2.12.RELEASE	2021.01
2.3.9.RELEASE	5.2.13.RELEASE	2021.02
2.3.10.RELEASE	5.2.14.RELEASE	2021.04
2.3.11.RELEASE	5.2.15.RELEASE	2021.05
2.3.12.RELEASE	5.2.15.RELEASE	2021.06
–	–	–
2.4.x
2.4.0	5.3.1	2020.11
2.4.1	5.3.2	2020.12
2.4.2	5.3.3	2021.01
2.4.3	5.3.4	2021.02
2.4.4	5.3.5	2021.03
2.4.5	5.3.6	2021.04
2.4.6	5.3.7	2021.05
2.4.7	5.3.8	2021.06
2.4.8	5.3.8	2021.06
2.4.9	5.3.9	2021.07
2.4.10	5.3.9	2021.08
2.5.x
2.5.0	5.3.7	2021.05
2.5.1	5.3.8	2021.06
2.5.2	5.3.8	2021.06
2.5.3	5.3.9	2021.07
2.5.4	5.3.9	2021.08
